                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0639,                 2.5867,                 1.4665,                0.22475,                0.62282,                0.30746,                0.19599,                 1.1451,                 1.4845,                 1.5306,              0.0033048,              0.0033048,              0.0033048
                      2,                 1.0162,                 1.6134,                 1.3775,                0.25947,                0.81517,                0.31725,                0.22459,                0.94776,                 1.3191,                 1.4101,               0.006625,               0.006625,               0.006625
                      3,                 1.0266,                 1.5378,                 1.3847,                 0.2013,                0.55476,                0.28763,                0.16946,                 1.2295,                  2.726,                 1.8103,               0.009932,               0.009932,               0.009932
                      4,                 1.0817,                  1.499,                  1.424,                  0.269,                0.50991,                0.34707,                0.20834,                 1.2902,                 1.6745,                 1.8104,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0536,                 1.4073,                 1.4058,                0.22649,                0.58486,                0.34658,                0.21958,                 1.1888,                 1.6141,                 1.8452,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0251,                 1.3025,                 1.3841,                0.32457,                0.61674,                0.40738,                0.25383,                 1.2388,                 1.3655,                 1.6769,               0.009901,               0.009901,               0.009901
                      7,                 1.0054,                 1.2646,                 1.3747,                0.28547,                0.51887,                0.33589,                0.20706,                 1.2805,                  1.539,                 1.8351,              0.0098812,              0.0098812,              0.0098812
                      8,                0.98439,                 1.2109,                 1.3593,                0.34218,                 0.6796,                0.45586,                 0.2938,                    1.2,                 1.1587,                 1.6157,              0.0098614,              0.0098614,              0.0098614
                      9,                0.96523,                 1.1784,                 1.3441,                0.40018,                0.70028,                0.49311,                0.37971,                 0.8624,                 1.0097,                 1.3665,              0.0098416,              0.0098416,              0.0098416
                     10,                0.95988,                 1.1532,                 1.3369,                0.37329,                0.67681,                0.48746,                0.37209,                0.81705,                 1.0563,                  1.351,              0.0098218,              0.0098218,              0.0098218
                     11,                0.92684,                 1.1161,                 1.3184,                 0.3842,                0.74857,                0.51863,                0.37172,                 1.0054,                  1.036,                 1.4118,               0.009802,               0.009802,               0.009802
                     12,                0.91359,                 1.0935,                 1.3143,                0.36076,                0.58097,                 0.4357,                0.31146,                   1.01,                 1.2705,                 1.5324,              0.0097822,              0.0097822,              0.0097822
                     13,                0.90441,                 1.0807,                 1.3019,                0.38569,                0.64476,                0.48272,                0.37073,                 0.8272,                 1.0384,                 1.3671,              0.0097624,              0.0097624,              0.0097624
                     14,                0.88978,                 1.0421,                 1.2916,                0.45524,                0.60182,                0.50538,                0.34307,                 1.0664,                 1.1409,                 1.5121,              0.0097426,              0.0097426,              0.0097426
                     15,                 0.8788,                 1.0379,                  1.289,                0.40232,                  0.557,                0.49576,                0.37214,                0.84543,                 1.0478,                 1.3739,              0.0097228,              0.0097228,              0.0097228
                     16,                0.87501,                 1.0283,                 1.2829,                0.45063,                0.62161,                0.52795,                0.42363,                0.71903,                0.95108,                 1.2151,               0.009703,               0.009703,               0.009703
                     17,                 0.8543,                 1.0083,                 1.2751,                0.46087,                0.66511,                 0.5358,                 0.4191,                0.75081,                0.87795,                 1.2704,              0.0096832,              0.0096832,              0.0096832
                     18,                0.86249,                  1.007,                 1.2802,                0.44524,                0.70566,                0.57557,                0.47266,                0.69561,                0.87754,                 1.2051,              0.0096634,              0.0096634,              0.0096634
                     19,                0.84094,                0.97866,                 1.2609,                  0.508,                0.64298,                0.55473,                0.44441,                0.70646,                0.97211,                 1.2354,              0.0096436,              0.0096436,              0.0096436
                     20,                0.82985,                0.96595,                 1.2578,                0.48297,                0.69276,                0.59891,                0.48189,                0.71277,                0.84537,                 1.2332,              0.0096238,              0.0096238,              0.0096238
