                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95411,                 1.9981,                 1.3728,                0.35332,                0.68716,                0.40979,                0.28495,                 1.0718,                 1.1955,                 1.5117,             0.00030235,             0.00030235,             0.00030235
                      2,                 0.8981,                 1.3421,                 1.3001,                0.32609,                0.62403,                0.41046,                0.30315,                0.89707,                 1.1777,                 1.4384,             0.00059936,             0.00059936,             0.00059936
                      3,                0.90175,                 1.2461,                 1.2886,                0.31285,                0.76539,                0.42918,                0.32072,                0.83328,                 1.1547,                 1.3932,             0.00089037,             0.00089037,             0.00089037
                      4,                0.88525,                 1.1885,                 1.2746,                0.36602,                0.68377,                0.43263,                0.32632,                 0.8364,                 1.0696,                 1.3968,               0.000882,               0.000882,               0.000882
                      5,                0.86377,                 1.1472,                 1.2628,                0.39398,                0.72532,                0.46286,                0.36151,                0.77643,                 0.9456,                 1.3134,               0.000873,               0.000873,               0.000873
                      6,                0.84006,                 1.0896,                 1.2513,                0.37908,                0.69158,                0.49353,                0.38532,                0.75183,                0.97624,                  1.308,               0.000864,               0.000864,               0.000864
                      7,                0.81716,                 1.0463,                  1.235,                0.42586,                0.67408,                0.51025,                0.40239,                0.78847,                0.96318,                 1.3016,             0.00085501,             0.00085501,             0.00085501
                      8,                0.80215,                 1.0361,                 1.2285,                0.39817,                0.59805,                0.51078,                0.39725,                0.74184,                0.99993,                 1.2932,             0.00084601,             0.00084601,             0.00084601
                      9,                0.79576,                 1.0025,                 1.2164,                0.45503,                0.71402,                0.56061,                0.45043,                0.69252,                 0.8866,                 1.2221,             0.00083701,             0.00083701,             0.00083701
                     10,                0.78107,                0.98872,                  1.215,                0.44152,                0.64258,                0.55517,                0.45164,                0.66124,                0.87886,                 1.2125,             0.00082801,             0.00082801,             0.00082801
                     11,                0.75878,                0.96617,                 1.1991,                0.44432,                0.74473,                0.54559,                0.44222,                0.62467,                0.85642,                 1.1632,             0.00081901,             0.00081901,             0.00081901
                     12,                0.75332,                0.95114,                 1.1952,                0.39864,                0.70182,                0.55639,                 0.4666,                0.64276,                 0.8997,                 1.1776,             0.00081001,             0.00081001,             0.00081001
                     13,                0.75317,                0.94298,                  1.191,                0.47692,                0.74256,                0.58357,                0.48305,                0.62506,                0.81449,                 1.1759,             0.00080101,             0.00080101,             0.00080101
                     14,                0.74035,                0.92315,                 1.1883,                0.50918,                0.73169,                0.58674,                0.48766,                0.62469,                0.79989,                 1.1471,             0.00079201,             0.00079201,             0.00079201
                     15,                0.73092,                0.91345,                 1.1834,                0.54741,                  0.654,                0.60792,                0.51041,                0.61103,                 0.8044,                  1.165,             0.00078301,             0.00078301,             0.00078301
                     16,                0.72321,                0.90064,                 1.1805,                 0.5147,                0.74939,                0.60718,                0.50513,                0.61153,                0.78397,                 1.1444,             0.00077401,             0.00077401,             0.00077401
                     17,                0.72338,                0.89088,                 1.1779,                0.56457,                0.65129,                0.60434,                0.49597,                0.64687,                0.82062,                 1.2061,             0.00076501,             0.00076501,             0.00076501
                     18,                0.71753,                0.88993,                 1.1735,                0.55881,                 0.6878,                0.62967,                0.52623,                0.62352,                0.79152,                 1.1693,             0.00075602,             0.00075602,             0.00075602
