                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6756,                0.42373,                 0.9774,                 1.7044,              0.0033048,              0.0033048,              0.0033048
                      2,                 1.4022,                0.41243,                0.96045,                 1.6468,               0.006625,               0.006625,               0.006625
                      3,                 1.2293,                0.46893,                 0.9661,                 1.6045,               0.009932,               0.009932,               0.009932
                      4,                 1.0952,                0.48588,                0.97175,                 1.5726,              0.0099406,              0.0099406,              0.0099406
                      5,                0.96006,                0.50282,                0.97175,                 1.5387,              0.0099208,              0.0099208,              0.0099208
                      6,                0.79468,                0.50847,                0.96045,                 1.5348,               0.009901,               0.009901,               0.009901
                      7,                0.69814,                0.45198,                0.96045,                 1.5602,              0.0098812,              0.0098812,              0.0098812
                      8,                0.61914,                0.50847,                 0.9774,                 1.5404,              0.0098614,              0.0098614,              0.0098614
                      9,                0.53729,                0.49718,                0.96045,                 1.5544,              0.0098416,              0.0098416,              0.0098416
                     10,                0.48479,                0.50282,                0.97175,                 1.5511,              0.0098218,              0.0098218,              0.0098218
                     11,                0.46604,                0.49153,                 0.9774,                 1.5404,               0.009802,               0.009802,               0.009802
                     12,                0.42385,                0.53107,                0.96045,                 1.5192,              0.0097822,              0.0097822,              0.0097822
                     13,                0.38577,                0.53672,                 0.9774,                 1.5172,              0.0097624,              0.0097624,              0.0097624
                     14,                0.35069,                0.51412,                0.98305,                 1.5329,              0.0097426,              0.0097426,              0.0097426
                     15,                0.34618,                0.50847,                 0.9774,                 1.5433,              0.0097228,              0.0097228,              0.0097228
                     16,                  0.338,                0.46893,                0.98305,                 1.5592,               0.009703,               0.009703,               0.009703
                     17,                0.31361,                0.50847,                 0.9774,                 1.5374,              0.0096832,              0.0096832,              0.0096832
                     18,                0.32296,                0.47458,                0.97175,                 1.5482,              0.0096634,              0.0096634,              0.0096634
                     19,                0.27094,                0.53107,                 0.9661,                 1.5137,              0.0096436,              0.0096436,              0.0096436
                     20,                0.28566,                0.49718,                0.96045,                 1.5387,              0.0096238,              0.0096238,              0.0096238
                     21,                0.27822,                0.53107,                 0.9661,                 1.5127,               0.009604,               0.009604,               0.009604
                     22,                0.24668,                0.58192,                 0.9774,                 1.4824,              0.0095842,              0.0095842,              0.0095842
                     23,                0.26743,                0.51412,                 0.9774,                 1.4902,              0.0095644,              0.0095644,              0.0095644
                     24,                0.25697,                0.48588,                 0.9774,                  1.541,              0.0095446,              0.0095446,              0.0095446
                     25,                0.26012,                0.50282,                 0.9774,                 1.5397,              0.0095248,              0.0095248,              0.0095248
                     26,                0.23881,                0.51977,                0.98305,                 1.5098,               0.009505,               0.009505,               0.009505
                     27,                 0.2233,                0.46328,                0.97175,                 1.5579,              0.0094852,              0.0094852,              0.0094852
                     28,                0.22454,                0.43503,                 0.9661,                 1.5807,              0.0094654,              0.0094654,              0.0094654
                     29,                0.22298,                0.53672,                0.96045,                 1.5098,              0.0094456,              0.0094456,              0.0094456
                     30,                0.22004,                0.54802,                0.96045,                 1.4938,              0.0094258,              0.0094258,              0.0094258
                     31,                0.19853,                0.50847,                 0.9887,                 1.5459,               0.009406,               0.009406,               0.009406
                     32,                0.19291,                0.50847,                0.96045,                 1.5163,              0.0093862,              0.0093862,              0.0093862
