                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7175,                0.41243,                0.93785,                 1.7334,              0.0032768,              0.0032768,              0.0032768
                      2,                 1.4531,                0.42938,                0.98305,                 1.6533,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.2772,                0.47458,                0.97175,                 1.6318,              0.0099041,              0.0099041,              0.0099041
                      4,                 1.0987,                0.49153,                0.98305,                 1.5918,              0.0099406,              0.0099406,              0.0099406
                      5,                0.93683,                0.50282,                0.97175,                 1.5596,              0.0099208,              0.0099208,              0.0099208
                      6,                0.81581,                0.45763,                0.98305,                 1.5625,               0.009901,               0.009901,               0.009901
                      7,                0.68153,                0.50282,                0.97175,                 1.5444,              0.0098812,              0.0098812,              0.0098812
                      8,                0.61465,                0.46893,                0.97175,                 1.5776,              0.0098614,              0.0098614,              0.0098614
                      9,                0.52025,                0.46328,                0.98305,                 1.5718,              0.0098416,              0.0098416,              0.0098416
                     10,                0.47099,                0.46328,                 0.9774,                 1.5796,              0.0098218,              0.0098218,              0.0098218
                     11,                0.44756,                0.55367,                0.97175,                 1.5015,               0.009802,               0.009802,               0.009802
                     12,                0.39081,                0.55932,                0.97175,                 1.5161,              0.0097822,              0.0097822,              0.0097822
                     13,                0.36064,                0.50847,                 0.9774,                 1.5347,              0.0097624,              0.0097624,              0.0097624
                     14,                0.32537,                0.55932,                0.98305,                 1.4981,              0.0097426,              0.0097426,              0.0097426
                     15,                0.28286,                0.53107,                 0.9887,                  1.521,              0.0097228,              0.0097228,              0.0097228
                     16,                0.27865,                0.53672,                 0.9774,                 1.5078,               0.009703,               0.009703,               0.009703
                     17,                0.27809,                0.45763,                0.97175,                  1.541,              0.0096832,              0.0096832,              0.0096832
                     18,                0.26103,                0.50282,                0.98305,                 1.5254,              0.0096634,              0.0096634,              0.0096634
                     19,                0.25058,                0.54237,                0.97175,                 1.4853,              0.0096436,              0.0096436,              0.0096436
                     20,                 0.2332,                0.54802,                 0.9661,                 1.4956,              0.0096238,              0.0096238,              0.0096238
                     21,                0.23583,                0.53107,                 0.9774,                 1.5137,               0.009604,               0.009604,               0.009604
                     22,                0.20664,                0.53672,                0.98305,                 1.4927,              0.0095842,              0.0095842,              0.0095842
                     23,                0.23341,                0.53107,                0.96045,                 1.5039,              0.0095644,              0.0095644,              0.0095644
                     24,                0.21006,                0.51412,                0.97175,                 1.4824,              0.0095446,              0.0095446,              0.0095446
