                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6362,                0.42373,                 0.9661,                 1.6722,              0.0033191,              0.0033191,              0.0033191
                      2,                 1.3848,                0.37288,                 0.9435,                 1.6566,              0.0066392,              0.0066392,              0.0066392
                      3,                 1.2399,                0.43503,                 0.9548,                  1.602,              0.0099462,              0.0099462,              0.0099462
                      4,                 1.2286,                0.46328,                 0.9661,                 1.5806,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0865,                0.42373,                 0.9548,                 1.6131,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0016,                0.47458,                0.98305,                  1.549,               0.009901,               0.009901,               0.009901
                      7,                0.89426,                0.47458,                0.98305,                 1.5734,              0.0098812,              0.0098812,              0.0098812
                      8,                0.82156,                0.42938,                 0.9774,                 1.5944,              0.0098614,              0.0098614,              0.0098614
                      9,                0.75393,                0.52542,                0.98305,                 1.5251,              0.0098416,              0.0098416,              0.0098416
                     10,                 0.6827,                0.47458,                0.96045,                 1.5462,              0.0098218,              0.0098218,              0.0098218
                     11,                0.64299,                0.46893,                0.98305,                 1.5627,               0.009802,               0.009802,               0.009802
                     12,                0.62549,                0.49718,                0.98305,                 1.5527,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.5896,                0.49718,                0.94915,                 1.5239,              0.0097624,              0.0097624,              0.0097624
                     14,                0.54051,                0.53107,                 0.9774,                 1.5216,              0.0097426,              0.0097426,              0.0097426
                     15,                0.50455,                0.51977,                0.97175,                 1.5243,              0.0097228,              0.0097228,              0.0097228
                     16,                0.50915,                0.48588,                0.96045,                 1.5612,               0.009703,               0.009703,               0.009703
                     17,                0.49105,                0.52542,                0.98305,                  1.533,              0.0096832,              0.0096832,              0.0096832
                     18,                0.46082,                0.45763,                0.98305,                 1.5728,              0.0096634,              0.0096634,              0.0096634
                     19,                0.45468,                0.48588,                0.96045,                   1.55,              0.0096436,              0.0096436,              0.0096436
                     20,                0.43555,                0.46328,                 0.9774,                 1.5397,              0.0096238,              0.0096238,              0.0096238
                     21,                0.41991,                0.55367,                0.96045,                 1.5088,               0.009604,               0.009604,               0.009604
                     22,                0.37156,                0.49718,                 0.9774,                 1.5267,              0.0095842,              0.0095842,              0.0095842
                     23,                0.38492,                0.54237,                0.97175,                 1.5042,              0.0095644,              0.0095644,              0.0095644
                     24,                0.36322,                0.48588,                0.98305,                 1.5417,              0.0095446,              0.0095446,              0.0095446
                     25,                0.39119,                0.52542,                0.97175,                 1.5125,              0.0095248,              0.0095248,              0.0095248
                     26,                0.38638,                0.53672,                0.97175,                 1.5254,               0.009505,               0.009505,               0.009505
                     27,                0.34476,                0.49718,                0.98305,                  1.515,              0.0094852,              0.0094852,              0.0094852
                     28,                0.30723,                0.53107,                 0.9774,                 1.5086,              0.0094654,              0.0094654,              0.0094654
                     29,                0.32106,                0.44633,                 0.9435,                  1.577,              0.0094456,              0.0094456,              0.0094456
                     30,                0.31983,                0.44068,                0.94915,                 1.5553,              0.0094258,              0.0094258,              0.0094258
                     31,                0.31899,                0.45763,                0.94915,                 1.5449,               0.009406,               0.009406,               0.009406
                     32,                0.32128,                0.52542,                 0.9661,                 1.5176,              0.0093862,              0.0093862,              0.0093862
                     33,                0.29316,                0.45198,                0.96045,                 1.5675,              0.0093664,              0.0093664,              0.0093664
