                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.769,                0.29944,                0.91525,                 1.7583,              0.0032768,              0.0032768,              0.0032768
                      2,                  1.482,                0.47458,                 0.9661,                  1.665,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.2536,                0.50282,                 0.9774,                 1.6064,              0.0099041,              0.0099041,              0.0099041
                      4,                 1.0367,                0.50847,                 0.9774,                 1.5742,              0.0099406,              0.0099406,              0.0099406
                      5,                0.84507,                0.50282,                0.99435,                 1.5395,              0.0099208,              0.0099208,              0.0099208
                      6,                0.70359,                0.53107,                0.98305,                 1.5239,               0.009901,               0.009901,               0.009901
                      7,                   0.56,                0.51412,                0.96045,                 1.5527,              0.0098812,              0.0098812,              0.0098812
                      8,                0.46824,                0.55367,                 0.9774,                 1.5581,              0.0098614,              0.0098614,              0.0098614
                      9,                0.37695,                0.49718,                 0.9887,                 1.5503,              0.0098416,              0.0098416,              0.0098416
                     10,                0.33636,                0.49718,                 0.9774,                 1.5518,              0.0098218,              0.0098218,              0.0098218
                     11,                0.30033,                0.51412,                0.97175,                 1.5093,               0.009802,               0.009802,               0.009802
                     12,                0.26402,                0.51412,                0.98305,                 1.5112,              0.0097822,              0.0097822,              0.0097822
                     13,                0.23977,                0.54802,                 0.9774,                 1.5049,              0.0097624,              0.0097624,              0.0097624
                     14,                0.19673,                0.50847,                0.98305,                 1.5132,              0.0097426,              0.0097426,              0.0097426
                     15,                0.18918,                0.52542,                0.98305,                   1.52,              0.0097228,              0.0097228,              0.0097228
                     16,                0.17193,                0.51977,                0.98305,                  1.523,               0.009703,               0.009703,               0.009703
                     17,                0.18529,                0.53672,                0.97175,                 1.5278,              0.0096832,              0.0096832,              0.0096832
                     18,                 0.1642,                0.50282,                0.98305,                 1.5449,              0.0096634,              0.0096634,              0.0096634
